AQI,City,YMD,Station,SO2,CO,O3,PM10,PM25,NO2
143.7777778,臺中市,5-Mar,忠明,5.142857143,10.68181818,23.05555556,67.1,143.7777778,27.75471698
151.2554745,臺南市,5-Mar,臺南,15.57142857,6.931818182,26.11111111,79,151.2554745,22.97169811
76.9,臺南市,5-Mar,善化,9.285714286,3.068181818,27.59259259,76.9,0,23.28301887
146.3703704,臺南市,5-Mar,新營,5.428571429,6.818181818,29.72222222,83.2,146.3703704,19.96226415
151.2554745,臺南市,5-Mar,安南,10.71428571,5.340909091,27.31481481,75.5,151.2554745,19.10377358
154.3211679,高雄市,5-Mar,前鎮,17.28571429,9.090909091,25.92592593,88.8,154.3211679,34.74528302
156.3649635,高雄市,5-Mar,林園,0,7.5,32.12962963,81.8,156.3649635,24.45283019
148.962963,高雄市,5-Mar,楠梓,10.28571429,7.727272727,23.88888889,81.8,148.962963,22.32075472
86,高雄市,5-Mar,左營,12.14285714,6.931818182,26.01851852,86,0,29.33962264
157.3868613,高雄市,5-Mar,大寮,23.57142857,7.386363636,23.51851852,85.3,157.3868613,26.41509434
154.3211679,高雄市,5-Mar,小港,25,9.659090909,22.22222222,81.8,154.3211679,37.50943396
146.3703704,高雄市,5-Mar,橋頭,10.57142857,7.159090909,24.90740741,81.8,146.3703704,24.26415094
157.3868613,高雄市,5-Mar,前金,15.14285714,8.977272727,28.05555556,85.3,157.3868613,23.4245283
152.7883212,高雄市,5-Mar,仁武,27.14285714,7.840909091,17.87037037,93,152.7883212,28.72641509
154.8321168,高雄市,5-Mar,復興,19.14285714,15.11363636,19.25925926,81.8,154.8321168,35.24528302
62.9,高雄市,5-Mar,美濃,5.714285714,5.681818182,28.7037037,62.9,0,11.87735849
157.3868613,高雄市,5-Mar,鳳山,20.57142857,10.34090909,22.03703704,93,157.3868613,32.48113208
94.09045226,基隆市,5-Mar,基隆,11.42857143,7.954545455,29.53703704,65,94.09045226,28.58490566
71.3,新竹市,5-Mar,新竹,6.571428571,9.090909091,25.18518519,71.3,0,25.95283019
153.810219,嘉義市,5-Mar,嘉義,6.428571429,8.75,24.35185185,82.5,153.810219,26.1509434
74.3919598,宜蘭縣,5-Mar,宜蘭,4,6.022727273,32.12962963,42.59259259,74.3919598,11.55660377
50,宜蘭縣,5-Mar,冬山,4.285714286,6.022727273,28.88888889,50,0,13.97169811
68.5,桃園市,5-Mar,觀音,13,5,31.11111111,68.5,0,20.19811321
70.6,桃園市,5-Mar,平鎮,11.57142857,8.068181818,28.33333333,70.6,0,29.11320755
79.7,桃園市,5-Mar,桃園,15.42857143,10,26.01851852,79.7,0,31.46226415
73.4,桃園市,5-Mar,中壢,12,14.31818182,22.68518519,73.4,0,36.29245283
70.6,桃園市,5-Mar,大園,9.857142857,6.363636364,28.14814815,70.6,0,24.83018868
54.5,桃園市,5-Mar,龍潭,6.857142857,7.272727273,27.03703704,54.5,0,22.16981132
59.4,新竹縣,5-Mar,竹東,3.714285714,7.045454545,29.90740741,59.4,0,18.45283019
65,新竹縣,5-Mar,湖口,6.857142857,5.795454545,36.01851852,65,0,17.28301887
67.1,苗栗縣,5-Mar,頭份,6.571428571,6.704545455,31.57407407,67.1,0,20.85849057
62.9,苗栗縣,5-Mar,苗栗,10.57142857,7.045454545,27.5,62.9,0,19.96226415
51.7,苗栗縣,5-Mar,三義,5.142857143,4.772727273,37.03703704,51.7,0,12.17924528
64.3,彰化縣,5-Mar,線西,7.714285714,5.454545455,34.81481481,64.3,0,22.69811321
72,彰化縣,5-Mar,二林,5.285714286,5.568181818,37.31481481,72,0,12.71698113
73.4,彰化縣,5-Mar,彰化,8.714285714,7.954545455,24.25925926,73.4,0,27.14150943
69.9,南投縣,5-Mar,竹山,4.142857143,5.795454545,29.81481481,69.9,0,20.21698113
107.4814815,南投縣,5-Mar,埔里,2.142857143,8.295454545,29.07407407,63.6,107.4814815,18.86792453
125.6296296,南投縣,5-Mar,南投,5.714285714,9.090909091,25,65,125.6296296,27.81132075
151.2554745,雲林縣,5-Mar,崙背,4.857142857,5.681818182,36.11111111,74.1,151.2554745,13.36792453
151.7664234,雲林縣,5-Mar,斗六,5.857142857,6.931818182,26.57407407,75.5,151.7664234,0
107.4814815,雲林縣,5-Mar,臺西,10.14285714,4.318181818,38.88888889,61.5,107.4814815,11.50943396
156.3649635,嘉義縣,5-Mar,朴子,6,5.795454545,39.16666667,90.2,156.3649635,14.47169811
151.7664234,嘉義縣,5-Mar,新港,5.142857143,6.136363636,34.35185185,82.5,151.7664234,14.99056604
158.4087591,屏東縣,5-Mar,屏東,7.714285714,8.295454545,30.37037037,76.2,158.4087591,20.79245283
151.2554745,屏東縣,5-Mar,潮州,10.42857143,6.25,23.61111111,73.4,151.2554745,20.13207547
40.83333333,屏東縣,5-Mar,恆春,2.571428571,1.931818182,40.83333333,29.62962963,0,3.481132075
62.08040201,臺東縣,5-Mar,臺東,3.142857143,5.681818182,32.03703704,37.96296296,62.08040201,9.5
67.00502513,花蓮縣,5-Mar,花蓮,3.714285714,7.159090909,24.62962963,41.66666667,67.00502513,15.03773585
84.24120603,澎湖縣,5-Mar,馬公,8.285714286,4.204545455,47.96296296,51,84.24120603,7.811320755
138.5925926,金門縣,5-Mar,金門,12.42857143,7.045454545,74.52,78.3,138.5925926,15.66037736
112.6666667,連江縣,5-Mar,馬祖,7.285714286,4.318181818,NaN,67.8,112.6666667,6.556603774
99.01507538,臺北市,5-Apr,古亭,7.857142857,10.45454545,26.11111111,58,99.01507538,32.21698113
67.8,臺北市,5-Apr,大同,9.285714286,14.43181818,18.33333333,67.8,0,41.83018868
112.6666667,臺北市,5-Apr,中山,9.142857143,13.40909091,17.96296296,62.9,112.6666667,36.08490566
60.8,臺北市,5-Apr,萬華,7.714285714,11.13636364,28.05555556,60.8,0,28.16981132
61.45333333,臺北市,5-Apr,陽明,4.142857143,4.090909091,61.45333333,43.51851852,0,4.028301887
64.3,臺北市,5-Apr,松山,8.428571429,10,27.77777778,64.3,0,30.5754717
56.6,臺北市,5-Apr,士林,6.571428571,7.272727273,31.57407407,56.6,0,23.89622642
138.5925926,新北市,5-Apr,三重,10.71428571,24.77272727,13.61111111,76.2,138.5925926,49.01886792
130.8148148,新北市,5-Apr,新莊,12.14285714,10.90909091,27.87037037,74.1,130.8148148,27.03773585
62.9,新北市,5-Apr,菜寮,8.714285714,13.06818182,23.61111111,62.9,0,32.85849057
117.8518519,新北市,5-Apr,永和,9,15.68181818,22.31481481,58.7,117.8518519,32.76415094
73.4,新北市,5-Apr,板橋,10.85714286,11.70454545,26.75925926,73.4,0,31.6509434
59.4,新北市,5-Apr,淡水,4.857142857,7.727272727,32.03703704,59.4,0,19.10377358
62.2,新北市,5-Apr,林口,8.857142857,6.022727273,30.64814815,62.2,0,23.71698113
67.1,新北市,5-Apr,土城,9.428571429,10.22727273,28.51851852,67.1,0,29.29245283
58.7,新北市,5-Apr,汐止,10.14285714,8.977272727,22.22222222,58.7,0,26.4245283
55.2,新北市,5-Apr,新店,5.857142857,7.272727273,31.75925926,55.2,0,19.66981132
86.70351759,新北市,5-Apr,萬里,4.857142857,4.204545455,39.81481481,39.81481481,86.70351759,9.981132075
0,臺中市,5-Apr,忠明,0,0,0,0,0,0
63.6,臺中市,5-Apr,豐原,8.142857143,9.090909091,30.27777778,63.6,0,19.89622642
151.2554745,臺中市,5-Apr,大里,6.428571429,8.068181818,21.85185185,75.5,151.2554745,24.88679245
120.4444444,臺中市,5-Apr,沙鹿,8.285714286,7.045454545,34.35185185,64.3,120.4444444,20.24528302
78.3,臺中市,5-Apr,西屯,7.714285714,8.181818182,29.44444444,78.3,0,21.29245283
130.8148148,臺南市,5-Apr,臺南,15.71428571,6.931818182,28.42592593,67.8,130.8148148,18.66981132
133.4074074,臺南市,5-Apr,新營,6.285714286,6.363636364,32.87037037,77.6,133.4074074,15.97169811
141.1851852,臺南市,5-Apr,安南,13,5.568181818,28.51851852,69.2,141.1851852,17.29245283
70.6,臺南市,5-Apr,善化,8,3.068181818,22.40740741,70.6,0,15.70754717
130.8148148,高雄市,5-Apr,復興,15.57142857,11.02272727,22.77777778,69.2,130.8148148,25.67924528
73.4,高雄市,5-Apr,左營,12.14285714,5.340909091,34.62962963,73.4,0,21.0754717
151.7664234,高雄市,5-Apr,前金,12.57142857,7.613636364,33.88888889,70.6,151.7664234,18.16037736
130.8148148,高雄市,5-Apr,楠梓,10.28571429,7.045454545,26.48148148,76.9,130.8148148,22.16037736
120.4444444,高雄市,5-Apr,橋頭,10,6.477272727,29.35185185,76.2,120.4444444,19.56603774
143.7777778,高雄市,5-Apr,大寮,16.28571429,5.909090909,25.92592593,73.4,143.7777778,18.39622642
143.7777778,高雄市,5-Apr,前鎮,19.85714286,7.727272727,28.88888889,71.3,143.7777778,24.31132075
138.5925926,高雄市,5-Apr,林園,15.85714286,5.681818182,39.90740741,71.3,138.5925926,14.14150943
58.7,高雄市,5-Apr,美濃,5.714285714,5.227272727,30.83333333,58.7,0,10.02830189
125.6296296,高雄市,5-Apr,仁武,21,7.045454545,22.5,82.5,125.6296296,25.09433962
152.2773723,高雄市,5-Apr,鳳山,16.57142857,8.863636364,28.51851852,80.4,152.2773723,25.22641509
141.1851852,高雄市,5-Apr,小港,20.14285714,7.272727273,25.37037037,68.5,141.1851852,25.93396226
96.55276382,基隆市,5-Apr,基隆,11.14285714,8.181818182,28.7962963,52.4,96.55276382,25.0754717
65.7,新竹市,5-Apr,新竹,6.428571429,8.863636364,24.25925926,65.7,0,25.51886792
157.3868613,嘉義市,5-Apr,嘉義,6.142857143,7.5,26.01851852,76.2,157.3868613,18.03773585
81.77889447,宜蘭縣,5-Apr,宜蘭,4.142857143,6.25,29.72222222,44.44444444,81.77889447,10.58490566
51.7,宜蘭縣,5-Apr,冬山,4.285714286,6.704545455,26.57407407,51.7,0,13.37735849
67.8,桃園市,5-Apr,觀音,13.14285714,5.340909091,28.7037037,67.8,0,18.58490566
73.4,桃園市,5-Apr,中壢,12.42857143,16.02272727,22.22222222,73.4,0,34.97169811
78.3,桃園市,5-Apr,桃園,18.42857143,10.11363636,28.7037037,78.3,0,29.31132075
